x_h2,phi,t_in,S_L_cm_s,T_ad_K,NO_ppm,NO2_ppm,N2O_ppm,NOx_ppm,grid_points
0.0,0.7,300.0,1.9254784815755803,1708.3886478444576,9135.476601276723,13.216541321736443,0.0917454803201888,9148.69314259846,119
0.0,0.8,300.0,3.232593031082282,1835.0903852684023,11223.393600992147,9.485469028662218,0.119857991431508,11232.879070020812,174
0.0,0.9,300.0,4.44234692368588,1952.438420310702,11611.635692420674,4.875252768193607,0.1421727239165029,11616.510945188867,211
0.0,1.0,300.0,5.92740849375276,2035.9535322733384,7322.061752330155,0.4125530617606962,0.408882927906525,7322.474305391916,250
0.0,1.1,300.0,6.529358533127481,2007.300343142058,2084.418915112967,0.0226599609957769,0.3304005734649655,2084.441575073963,261
0.0,1.2,300.0,5.956517513880356,1941.6290176329264,1330.757319314848,0.0051288672584176,0.4685928493697258,1330.7624481821065,270
0.0,1.3,300.0,5.269551986792578,1878.8890277964504,2063.62620557109,0.0033271057479328,10.7163089305442,2063.6295326768377,271
0.2,0.7,300.0,3.5526340041084703,1744.7179136760806,10315.37601272003,13.7582383309488,0.1075100575804704,10329.134251050978,156
0.2,0.8,300.0,5.739972845866415,1876.681426487978,12453.011545583113,9.675501269714772,0.1415647644890245,12462.687046852829,202
0.2,0.9,300.0,7.59442251743477,1997.206487696673,12721.617312446971,4.888290590742014,0.1739675962841092,12726.505603037713,232
0.2,1.0,300.0,9.66031408083793,2074.1441646512594,8961.544355888505,0.5061611429450923,0.5700881754829408,8962.05051703145,235
0.2,1.1,300.0,10.55193089893423,2041.2155339343108,4675.552262295655,0.0578479941700506,1.1322363904338624,4675.610110289825,245
0.2,1.2,300.0,9.959703737185912,1983.313244040045,3432.5573932981483,0.015609586555617,3.3847780806030494,3432.573002884704,252
0.2,1.3,300.0,9.164923099658614,1936.840468135966,3325.2988360774007,0.0077947375567391,20.87412258641144,3325.3066308149573,253
0.4,0.7,300.0,7.9340427847684705,1779.633473449167,12707.944165234894,15.738243901902417,0.1483950322026802,12723.682409136796,150
0.4,0.8,300.0,11.36411618743924,1918.4683573352831,14404.739227466936,10.372581647348207,0.1724534210769771,14415.111809114283,168
0.4,0.9,300.0,14.523884277404186,2044.12391770381,14203.813080547354,5.089730226637279,0.218120809647622,14208.90281077399,197
0.4,1.0,300.0,17.811885826945407,2121.2872570341137,10780.230864028734,0.7039910148823225,0.653965504635776,10780.934855043615,205
0.4,1.1,300.0,19.123353610263173,2103.1354324004706,5353.605620255357,0.0930426381485918,0.916867695969298,5353.698662893506,209
0.4,1.2,300.0,18.482541435390544,2050.9436467060123,3784.222467299053,0.0269871099779292,1.4048660201723462,3784.249454409032,213
0.4,1.3,300.0,17.431058940737035,1997.669862445293,3792.735641760081,0.0116115898269386,17.471520737563697,3792.747253349908,213
0.6,0.7,300.0,19.762452435101576,1817.261036272464,17165.878425577524,19.508161684609348,0.3783986293701243,17185.386587262135,140
0.6,0.8,300.0,29.19598769690267,1966.340901018814,17824.879199658113,11.669214964268306,0.226677213633164,17836.548414622383,170
0.6,0.9,300.0,39.330816922468834,2097.476090097642,17108.393104848612,5.470692311267352,0.313208643769313,17113.86379715988,179
0.6,1.0,300.0,48.30610120163668,2163.262849732553,14314.994930347086,0.9499286614938516,1.055072265807964,14315.94485900858,187
0.6,1.1,300.0,51.60138145580514,2139.290234420509,10390.794484422231,0.1991638125257839,2.3079871982774285,10390.993648234758,191
0.6,1.2,300.0,47.38453614161889,2107.6046407068857,6889.668139925095,0.065923359099352,2.453670776492117,6889.734063284194,193
0.6,1.3,300.0,40.78783478586029,2068.3110010670944,4756.175473738741,0.025472480670789,2.5469767486788952,4756.200946219412,193
0.0,0.7,450.0,5.451142298821148,1813.4531050387784,12010.867984229491,13.586510295065969,0.138548254281849,12024.45449452456,125
0.0,0.8,450.0,8.037706063087727,1937.4594020173895,13518.091808680214,9.217420008492544,0.1738858935315261,13527.309228688706,168
0.0,0.9,450.0,10.423509831172693,2051.6420025190782,12768.600923490434,4.452188689890336,0.2025138213876428,12773.053112180323,194
0.0,1.0,450.0,13.14135014203757,2134.007112170165,6937.138364813922,0.5712909658023674,0.2553572745594438,6937.709655779724,222
0.0,1.1,450.0,14.24981252390602,2105.3810370808083,2589.282824958195,0.0469346417660615,0.2469669284768132,2589.329759599961,229
0.0,1.2,450.0,13.26418524350952,2046.243463952815,1230.8579710459248,0.0086937354416788,0.1816319010189745,1230.8666647813666,239
0.0,1.3,450.0,11.958568982832888,1979.124478473554,1176.9290181901672,0.0037845032779059,0.4494057788623944,1176.9328026934452,250
0.2,0.7,450.0,9.76030963505407,1849.59701431678,13378.024070913913,14.075126418126956,0.160709745193356,13392.09919733204,144
0.2,0.8,450.0,13.80985272323981,1978.5519887008857,14924.43667190102,9.413530195559025,0.2047710639299869,14933.85020209658,179
0.2,0.9,450.0,17.343693946212536,2094.307311236899,14350.598459151812,4.574940950360184,0.2522176296363352,14355.173400102172,192
0.2,1.0,450.0,20.95981557492852,2165.44764612576,9719.143536359756,0.7278117057551134,0.4739088453514515,9719.871348065511,203
0.2,1.1,450.0,22.46991223610932,2139.7792871854103,5246.691259714083,0.1065352664083991,0.7130289316531653,5246.797794980491,212
